# Real soil chemistry + texture from ISRIC SoilGrids v2.0 (250 m, no key).
# Bengaluru. zone = H3 res-7 cell id.
# Native SoilGrids scaling: phh2o = pH*10, sand/silt/clay = g/kg,
# soc = dg/kg, nitrogen = cg/kg. soil.py auto-unscales by magnitude.
zone,lat,lon,phh2o,sand,silt,clay,soc,nitrogen
8761892c5ffffff,13.02317,77.65858,66.0,555.5,202.5,242.5,146.5,115.5
8761892c6ffffff,13.05302,77.6844,65.0,550.5,206.5,243.5,160.5,133.5
8761892c8ffffff,13.04579,77.60417,64.0,583.0,192.5,223.5,170.5,127.5
8761892c9ffffff,13.03837,77.58298,65.0,595.5,191.0,213.0,174.0,118.5
8761892caffffff,13.06822,77.60876,66.0,592.5,184.5,223.0,130.5,100.5
8761892cbffffff,13.0608,77.58757,64.0,581.0,201.0,217.5,181.0,131.0
8761892ceffffff,13.05321,77.62537,66.0,595.0,184.0,221.0,123.5,102.0
8761892d0ffffff,13.0979,77.6936,66.0,639.0,143.5,218.0,128.0,103.5
8761892d1ffffff,13.09048,77.67238,65.0,626.5,153.5,220.0,127.5,120.5
8761892d4ffffff,13.08288,77.71022,66.0,633.0,153.5,213.0,123.0,124.5
8761892d5ffffff,13.07546,77.689,66.0,616.0,154.0,230.0,138.5,140.0
8761892d8ffffff,13.09808,77.63456,65.0,604.0,179.0,217.0,149.5,135.5
8761892d9ffffff,13.09065,77.61336,64.0,576.0,198.0,225.5,145.5,147.0
8761892dcffffff,13.08306,77.65117,65.5,634.0,164.0,202.0,137.0,115.0
8761892ddffffff,13.07564,77.62996,66.0,591.5,182.0,226.5,143.0,99.5
8761892e0ffffff,12.99311,77.69181,64.0,573.0,173.0,254.5,169.5,145.5
8761892e1ffffff,12.9857,77.67059,64.0,547.0,201.5,251.5,180.0,166.0
8761892e6ffffff,13.00052,77.71302,65.0,564.0,174.0,262.5,148.5,153.5
8761892e8ffffff,12.99332,77.63278,65.0,576.5,203.0,220.5,168.0,133.0
8761892ebffffff,13.00834,77.61618,65.0,572.5,218.0,209.5,171.5,128.5
8761892edffffff,12.97089,77.62819,64.5,529.0,230.5,241.0,200.0,184.0
8761892eeffffff,13.00073,77.65399,62.0,552.0,200.5,247.5,170.5,147.0
8761892f0ffffff,13.04541,77.72224,65.0,573.0,194.5,232.5,164.0,167.0
8761892f1ffffff,13.03799,77.70101,67.0,570.0,179.5,250.5,132.5,125.5
8761892f2ffffff,13.06785,77.72684,66.0,602.0,160.5,237.5,147.5,174.0
8761892f3ffffff,13.06044,77.70562,64.0,580.0,181.5,238.5,152.0,127.5
8761892f4ffffff,13.03037,77.73886,65.0,565.0,185.0,250.0,150.5,123.0
8761892f5ffffff,13.02296,77.71763,65.0,562.5,164.0,273.0,135.5,120.5
8761892f6ffffff,13.05282,77.74347,65.0,579.5,181.5,239.0,124.5,141.5
